row_id,emoji,unicode_slug,name,vendor,raw_image_path,processed_image_path
1,😀,U+1F600,grinning face,Apple,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Apple/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0001_u1f600.png
1,😀,U+1F600,grinning face,Google,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Google/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0001_u1f600.png
1,😀,U+1F600,grinning face,Facebook,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Facebook/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Facebook/0001_u1f600.png
1,😀,U+1F600,grinning face,Windows,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Windows/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Windows/0001_u1f600.png
1,😀,U+1F600,grinning face,Twitter,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Twitter/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Twitter/0001_u1f600.png
1,😀,U+1F600,grinning face,JoyPixels,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/JoyPixels/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/JoyPixels/0001_u1f600.png
1,😀,U+1F600,grinning face,Samsung,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Samsung/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Samsung/0001_u1f600.png
1,😀,U+1F600,grinning face,Gmail,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Gmail/1.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Gmail/0001_u1f600.png
2,😃,U+1F603,grinning face with big eyes,Apple,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Apple/2.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Apple/0002_u1f603.png
2,😃,U+1F603,grinning face with big eyes,Google,/home/longneckcat/Desktop/Emoji_text_EditGen/data/raw/kaggle/full_emoji_image_dataset/image/Google/2.png,/home/longneckcat/Desktop/Emoji_text_EditGen/data/processed/emoji_editing/images/vendor_rgba72/Google/0002_u1f603.png
